Subject Activity tBodyAcc-mean()-X tBodyAcc-mean()-Y tBodyAcc-mean()-Z tBodyAcc-std()-X tBodyAcc-std()-Y tBodyAcc-std()-Z tGravityAcc-mean()-X tGravityAcc-mean()-Y tGravityAcc-mean()-Z tGravityAcc-std()-X tGravityAcc-std()-Y tGravityAcc-std()-Z tBodyAccJerk-mean()-X tBodyAccJerk-mean()-Y tBodyAccJerk-mean()-Z tBodyAccJerk-std()-X tBodyAccJerk-std()-Y tBodyAccJerk-std()-Z tBodyGyro-mean()-X tBodyGyro-mean()-Y tBodyGyro-mean()-Z tBodyGyro-std()-X tBodyGyro-std()-Y tBodyGyro-std()-Z tBodyAccMag-mean() tBodyAccMag-std() tBodyAccJerkMag-mean() tBodyAccJerkMag-std() tBodyGyroJerkMag-mean() tBodyGyroJerkMag-std() fBodyAcc-mean()-X fBodyAcc-mean()-Y fBodyAcc-mean()-Z fBodyAcc-std()-X fBodyAcc-std()-Y fBodyAcc-std()-Z fBodyAccJerk-mean()-X fBodyAccJerk-mean()-Y fBodyAccJerk-mean()-Z fBodyAccJerk-std()-X fBodyAccJerk-std()-Y fBodyAccJerk-std()-Z fBodyGyro-mean()-X fBodyGyro-mean()-Y fBodyGyro-mean()-Z fBodyGyro-std()-X fBodyGyro-std()-Y fBodyGyro-std()-Z fBodyAccMag-mean() fBodyAccMag-std() fBodyBodyAccJerkMag-mean() fBodyBodyAccJerkMag-std() fBodyBodyGyroMag-mean() fBodyBodyGyroMag-std() angle(X,gravityMean) angle(Y,gravityMean) angle(Z,gravityMean)
     11             LAYING     0.2805930  -0.017659805   -0.10878658  -0.984777330  -0.972196874   -0.97131118 -3.248465e-02  -0.299803529    -0.1348320   0.943017941   0.112620190    -0.9795656  -0.122153675  -0.011185670    0.07666453  1.221939e-02  2.776905e-03  -0.985259109  2.082380e-01 -0.3110774991 -0.0191743840  -0.041559990  0.1520190159    -0.9808369  0.0641667490 -0.0774202689  0.2481590126 -0.3027758601   0.177229549  -0.101938167  0.0449439993 -0.2412640036   -0.98380137  -0.971403935   -0.97357681  -0.985322212   -0.99824806    -0.9994887  -0.984884874  -0.973882497   -0.97956484  -0.987122678    -0.9990988    -0.9994916   -0.97618747   -0.98264027   -0.96143442    -0.9824246   -0.99733625    -0.9995670  -0.547832928   -0.76760716  -0.546662085   -0.81852167  -0.022025948  5.299161e-02     0.3452778
     12             LAYING     0.2601134  -0.017520392   -0.10816013  -0.955318680  -0.949072009   -0.94833384 -4.131488e-01  -0.292380102    -0.3785921   0.803378835   0.275043198    -0.9364583  -0.469480464  -0.072897566    0.08542954  7.744083e-03 -4.371484e-03  -0.969276283 -1.126251e-01 -0.1819420840 -0.0146546807  -0.083553735  0.1451918480    -0.9660907  0.1663393409 -0.1447400867  0.0825832574 -0.1552958197   0.237154484  -0.211702457 -0.1125654064  0.0724989101   -0.95624849  -0.951265971   -0.95472480  -0.955207642   -0.99523550    -0.9989098  -0.968742759  -0.963223332   -0.96714970  -0.972820011    -0.9983750    -0.9991118   -0.95665389   -0.95256172   -0.94567324    -0.9692546   -0.99754077    -0.9992218  -0.272025123   -0.52233083  -0.362330024   -0.69536442   0.030970951  1.184168e-02     0.5231784
     13             LAYING     0.2767164  -0.020440454   -0.10433186  -0.968891989  -0.950947950   -0.95039300 -4.053024e-01  -0.480001775    -0.1568522   0.656400944   0.598884989    -0.9578752  -0.377332397  -0.664193047    0.07677748  1.834419e-02 -9.883897e-03  -0.985419950 -3.442443e-02 -0.0119348256 -0.0097360997  -0.096625070  0.1178196148    -0.9721435  0.0384601045 -0.0570662451  0.0992317319 -0.1391128027   0.217593160  -0.355891358 -0.0204759331  0.3106882089   -0.97471692  -0.965843757   -0.96629558  -0.966960088   -0.99575002    -0.9993375  -0.985199684  -0.980375137   -0.98099460  -0.987078175    -0.9993863    -0.9995784   -0.96946349   -0.96868973   -0.96912688    -0.9734468   -0.99816758    -0.9995304  -0.083988284   -0.34683617  -0.401214617   -0.69583817   0.085728252 -4.887868e-03     0.3612108
     14             LAYING     0.2332754  -0.011342465   -0.08683333  -0.917501887  -0.909697041   -0.90033192 -5.867384e-01  -0.373562179    -0.1454836   0.485396927   0.836562910    -0.8621369  -0.736670628  -0.458429922    0.09814038 -8.315071e-03 -3.236015e-02  -0.971473557  2.104720e-02 -0.0703749243  0.0050522118  -0.153423808  0.1491240582    -0.9572210  0.3042791277 -0.2777547578  0.0876121565 -0.0531857645   0.040995916  -0.038939316  0.0083920095 -0.2740182785   -0.93393618  -0.930366906   -0.92788231  -0.911972655   -0.96640292    -0.9975103  -0.972010709  -0.969342124   -0.96859320  -0.973491388    -0.9981629    -0.9993830   -0.94995904   -0.93808790   -0.94910716    -0.9597405   -0.99590763    -0.9990528  -0.215392939   -0.52082623  -0.417542860   -0.72025366   0.045876084  2.303405e-02     0.3491160
     15             LAYING     0.2894757  -0.016629654   -0.11853024  -0.972255552  -0.962759422   -0.92958684 -7.331655e-02  -0.143159538    -0.1719931   0.899242553  -0.036919291    -0.9615097  -0.009226948   0.064831966    0.07675154  1.239843e-02 -4.439280e-03  -0.981739387  1.737036e-01 -0.2483771248 -0.0168300888  -0.061970087  0.1134518998    -0.9571677  0.0514854128 -0.0870514268  0.1158463275 -0.1153106039   0.083768204  -0.010444075  0.0285198166 -0.1991438074   -0.97401618  -0.962461124   -0.95156595  -0.971718825   -0.98899756    -0.9992182  -0.981329999  -0.970833222   -0.97477568  -0.983949291    -0.9988405    -0.9994325   -0.95541360   -0.96431089   -0.95819010    -0.9582245   -0.99706828    -0.9997257  -0.341265132   -0.59930258  -0.452850469   -0.74585593  -0.029450954  1.835807e-03     0.3728913
     16             LAYING     0.2742272  -0.016610351   -0.10731049  -0.973691429  -0.943061150   -0.96549028 -4.379567e-01  -0.150354016    -0.2067837  -0.019927023   0.893884469    -0.9637620  -0.679026527  -0.015400523    0.07839603  1.328051e-02 -1.541051e-03  -0.988416724  1.298586e-01 -0.1036620310 -0.0161545407  -0.113675061  0.0966210349    -0.9770108  0.0587331112  0.0781688899  0.0863763115 -0.0180215512   0.128006264  -0.057478012  0.0782931295 -0.0462085777   -0.98021319  -0.963635575   -0.97458007  -0.971409075   -0.99713393    -0.9995640  -0.988580046  -0.984752927   -0.98554495  -0.989287359    -0.9996386    -0.9997447   -0.97589241   -0.97609292   -0.98595779    -0.9775096   -0.99962849    -0.9999195  -0.046365009   -0.35893372  -0.553806615   -0.81547221   0.005213995  5.647847e-02     0.3982080
     17             LAYING     0.2697801  -0.016846201   -0.10700628  -0.972960567  -0.944792875   -0.95347670 -3.039904e-01  -0.632349133    -0.1991331   0.658792072   0.722657502    -0.9610632  -0.482100999  -0.930501588    0.07790897  7.068671e-03 -1.435425e-04  -0.981489017  1.829755e-01 -0.0343318335 -0.0234756467  -0.094458019  0.1114404903    -0.9758931  0.0186079122 -0.0197203818  0.1260132548 -0.2128879486   0.166453855  -0.247179357 -0.1326892926  0.0793185139   -0.97435928  -0.954648102   -0.96540609  -0.972438525   -0.99647891    -0.9995834  -0.981472069  -0.977212388   -0.98038006  -0.983213244    -0.9991778    -0.9996211   -0.97194921   -0.97366910   -0.97616485    -0.9772035   -0.99871572    -0.9998040   0.094845079   -0.13847266  -0.534150485   -0.79181714   0.015099669 -5.302555e-02     0.3950766
     18             LAYING     0.2746916  -0.017393768   -0.10769893  -0.984527649  -0.986160921   -0.98765866 -3.114370e-01  -0.179297737    -0.2206005   0.719755404   0.605495318    -0.9827160  -0.464768364  -0.530808833    0.07499850  1.170190e-02 -1.213448e-03  -0.985921071  8.075006e-02  0.0370569440 -0.0251761807  -0.083758731  0.0937781948    -0.9928726  0.0128909114 -0.2052905563  0.2817918485 -0.3647225596   0.268217528  -0.274031460 -0.0817475952 -0.1040361767   -0.98517997  -0.984909885   -0.98860691  -0.984321858   -0.99969472    -0.9998317  -0.986404709  -0.985865325   -0.98911687  -0.986641246    -0.9997574    -0.9998187   -0.99243693   -0.98561117   -0.98499929    -0.9930194   -0.99961188    -0.9998979  -0.521407873   -0.74492807  -0.606679164   -0.86542616   0.003238485  2.900407e-02     0.4109021
     19             LAYING     0.2726537  -0.017142686   -0.10898146  -0.965019580  -0.973449969   -0.98467284  4.732149e-02  -0.110454013    -0.6800432   0.725646623   0.687623853    -0.9589596   0.178002306  -0.242773151    0.07723180  1.114957e-02 -9.886909e-04  -0.983605223  7.448251e-02 -0.0005756472 -0.0312072731  -0.095262801  0.1086051137    -0.9813576  0.0391059186 -0.1646566278  0.1356390783 -0.1472587157   0.295429029  -0.249166597 -0.1231898375  0.1438640405   -0.97453373  -0.972798824   -0.98534045  -0.962085001   -0.99953691    -0.9997422  -0.983478562  -0.974878271   -0.98650649  -0.985278007    -0.9997108    -0.9997384   -0.97419622   -0.97206100   -0.97393233    -0.9839448   -0.99902971    -0.9997583  -0.222431522   -0.45896840  -0.432144145   -0.74854596   0.023718590 -2.313738e-02     0.7377844
     20             LAYING     0.2395079  -0.014440628   -0.10427432  -0.962249115  -0.964098180   -0.97257200 -2.449240e-01  -0.184965086    -0.4724314   0.864882957   0.477573305    -0.9286742  -0.255983131  -0.441664645    0.08927160  1.108225e-03 -3.098918e-03  -0.984270728  1.918782e-02 -0.0500925630 -0.0231760616  -0.095489963  0.1236802099    -0.9844774 -0.0731347107 -0.0065701504  0.1536249437 -0.1434608676   0.202940347  -0.121541677 -0.1351633575 -0.0601240723   -0.96572878  -0.965595958   -0.97639265  -0.960997907   -0.99809198    -0.9995625  -0.983889985  -0.977220708   -0.98287621  -0.986213883    -0.9994326    -0.9996528   -0.98261940   -0.97312003   -0.97227860    -0.9851546   -0.99908145    -0.9998116  -0.379900700   -0.62570226  -0.501124962   -0.80204749   0.062711974 -6.411377e-02     0.5899631
     21             LAYING     0.2713255  -0.018423305   -0.10325383  -0.955019866  -0.956959422   -0.94565379 -7.661319e-01  -0.559160059    -0.1743492   0.599992678   0.788251027    -0.9459053  -0.937824284  -0.867531000    0.08201502  1.199437e-02 -1.390534e-02  -0.984826521 -2.432120e-02 -0.0334039580 -0.0305126189  -0.113800486  0.0980906517    -0.9754119  0.1281610586 -0.1837172932  0.1032958579 -0.0909521720   0.034572005   0.019179806 -0.0183648389 -0.1530461410   -0.96823438  -0.960069247   -0.96177219  -0.950929451   -0.99247966    -0.9990696  -0.984188841  -0.972039417   -0.98163081  -0.987061377    -0.9991059    -0.9996355   -0.97341047   -0.96496801   -0.98081122    -0.9762269   -0.99894161    -0.9997805  -0.007921356   -0.29973008  -0.541262559   -0.81101020   0.077167516 -4.147749e-02     0.3770409
     22             LAYING     0.2799597  -0.014262986   -0.11080092  -0.947735252  -0.913276302   -0.94294581 -3.092867e-01  -0.319466725    -0.4184946   0.632484076   0.771903907    -0.9287812  -0.501764568  -0.532744785    0.07522022  4.598348e-03 -4.674387e-03  -0.970355192  1.061220e-01  0.0096780044 -0.0208311371  -0.092572312  0.1450038793    -0.9566419  0.2491718108 -0.1858574898  0.1283534784 -0.1161842492   0.117916162   0.009933729  0.0467127470 -0.1934772590   -0.95375854  -0.925524703   -0.95421924  -0.945656808   -0.99161360    -0.9990294  -0.969570327  -0.954833264   -0.97091894  -0.974126068    -0.9981635    -0.9991789   -0.95336692   -0.96469826   -0.94257024    -0.9580310   -0.98948742    -0.9991760  -0.278505469   -0.54727476  -0.328525494   -0.60863719   0.009938193  5.109779e-02     0.5524572
     23             LAYING     0.2740380  -0.021655384   -0.10425678  -0.956756363  -0.976309827   -0.97322350 -5.015600e-01  -0.406198536    -0.3915650   0.438434067   0.918782825    -0.9479488  -0.659033057  -0.735043179    0.08317876  1.535144e-02 -6.282351e-03  -0.986360447  1.278255e-01  0.0694703776 -0.0113399725  -0.105052917  0.1110785947    -0.9818494  0.1430888487  0.0051158902  0.1691991666 -0.1957853230   0.162295630  -0.262032444 -0.0371000254  0.1115164169   -0.97003724  -0.982072296   -0.97751521  -0.952410958   -0.99851501    -0.9995625  -0.986204659  -0.988230264   -0.98241551  -0.987840853    -0.9996196    -0.9996153   -0.97967608   -0.96846914   -0.98423881    -0.9826652   -0.99934686    -0.9998795  -0.019719968   -0.31531956  -0.565525758   -0.83676261   0.105744482  5.207004e-03     0.5332350
     24             LAYING     0.2728505  -0.017355521   -0.10723624  -0.967984021  -0.983126462   -0.97356696 -5.623998e-01  -0.220803678    -0.3592925   0.738430699   0.683839910    -0.9604122  -0.850596599  -0.653262049    0.08072123  1.198195e-02 -5.892258e-03  -0.986365434  3.381391e-02  0.0073263496 -0.0143679929  -0.095553805  0.1117307463    -0.9826517  0.1001149299 -0.0947279553  0.1598103376 -0.2040889389   0.191272629  -0.207639886 -0.1419037281 -0.0275370265   -0.97589369  -0.980830362   -0.97663482  -0.965167082   -0.99865077    -0.9994781  -0.985998547  -0.982140614   -0.98154969  -0.988140518    -0.9993055    -0.9995976   -0.97657056   -0.96611198   -0.98109304    -0.9847133   -0.99930638    -0.9998155  -0.233081738   -0.50853676  -0.583401355   -0.84269111   0.043125407  8.245363e-03     0.5103601
     25             LAYING     0.2507918  -0.018894366   -0.10042883  -0.909116474  -0.691770681   -0.71726200 -4.642242e-01  -0.198709908    -0.4611025   0.620658920   0.526353818    -0.8295549  -0.699447505  -0.455409105    0.08790717  2.846193e-02 -3.071794e-02  -0.973323412 -5.110041e-02 -0.1021681986  0.0037272346  -0.071640173  0.1397186715    -0.8897696  0.2912469310 -0.0493195617 -0.0940818726  0.1740957581  -0.130055105   0.152670828 -0.0655504546 -0.1430549003   -0.92914737  -0.784945819   -0.81619795  -0.902547712   -0.91019505    -0.9940601  -0.972859086  -0.946802004   -0.96263267  -0.976423985    -0.9984381    -0.9992493   -0.89051754   -0.94625964   -0.92453686    -0.8913081   -0.99221050    -0.9991681   0.147285130   -0.09633853  -0.385306126   -0.68283468  -0.063753166  2.630128e-02     0.5860500
     26             LAYING     0.2716459  -0.019189573   -0.10500254  -0.969445445  -0.983231352   -0.98450001  8.026646e-02  -0.165103652    -0.6213097   0.803015012   0.614523406    -0.9444725   0.115730614  -0.393965470    0.08665025  1.244200e-02 -6.147551e-03  -0.989315825  1.914349e-01 -0.0594830032 -0.0170656240  -0.090322923  0.1524363443    -0.9903282  0.0082881333 -0.1600630344  0.2265519840 -0.2283356270   0.201904339  -0.253230961 -0.0843999697  0.1527540081   -0.97326229  -0.983664034   -0.98492312  -0.967971891   -0.99919072    -0.9997173  -0.989224044  -0.987115081   -0.98730825  -0.990410107    -0.9996875    -0.9997745   -0.98838632   -0.98312800   -0.97017122    -0.9909701   -0.99780533    -0.9995780  -0.423488804   -0.67102003  -0.548042853   -0.80912628  -0.010655001 -7.914682e-05     0.6957435
     27             LAYING     0.2741025  -0.017986761   -0.10769973  -0.978455153  -0.983736044   -0.98663700 -1.546398e-01  -0.173914047    -0.5304346   0.567879494   0.845392380    -0.9711839  -0.372417387  -0.380163748    0.07662686  1.264911e-02 -6.855493e-04  -0.986471899  1.153022e-01 -0.0485304569 -0.0195427329  -0.095783957  0.1187383608    -0.9888372  0.1149501768 -0.2374528665  0.1851367860 -0.1955862352   0.130817865  -0.134351206  0.0044433481 -0.1332779729   -0.98063185  -0.982915952   -0.98735659  -0.977615703   -0.99948952    -0.9997901  -0.986679573  -0.985257277   -0.98803313  -0.987477465    -0.9997358    -0.9997868   -0.98702854   -0.98679584   -0.97920202    -0.9893823   -0.99884475    -0.9998064  -0.503641193   -0.74403412  -0.563622306   -0.80471528  -0.019023096 -2.154349e-02     0.6319862
     28             LAYING     0.2759135  -0.016753786   -0.10834485  -0.968888295  -0.945386780   -0.95645034 -3.758338e-01  -0.445828274    -0.4903345   0.144073274   0.015757003    -0.9705991  -0.561479980  -0.805328217    0.07807706  5.939923e-03  6.009719e-03  -0.980164717  5.398772e-02  0.0858561761 -0.0173677057  -0.097448734  0.0935791231    -0.9551623  0.3161712269 -0.3170212142  0.1383900597 -0.1497664223   0.084216620  -0.065480389 -0.0364067207 -0.1351626184   -0.97393087  -0.958436369   -0.96111567  -0.967324864   -0.99644420    -0.9990490  -0.980013419  -0.978094827   -0.97025157  -0.982205901    -0.9981134    -0.9992327   -0.94680423   -0.96582446   -0.96116484    -0.9580921   -0.99760003    -0.9993357  -0.173008082   -0.46652895  -0.461837828   -0.75493431   0.020764647  5.152231e-02     0.6033925
     29             LAYING     0.2872952  -0.017196548   -0.10946207  -0.984219556  -0.990240947   -0.98725515 -2.069870e-03  -0.064547496    -0.3467898   0.807535373   0.590452224    -0.9729399   0.080060755  -0.119460682    0.07188612  1.169121e-02  2.415428e-03  -0.992005989  3.226226e-01 -0.0993731476 -0.0258281005  -0.076181436  0.1274119717    -0.9942766 -0.0211695443 -0.0940687037  0.2389202022 -0.2448585003   0.210372173  -0.143465602 -0.0031402849 -0.2185355220   -0.98662700  -0.989034304   -0.98947393  -0.983432309   -0.99931919    -0.9998380  -0.992153982  -0.989398824   -0.99201845  -0.992543478    -0.9998645    -0.9998566   -0.99312261   -0.99369634   -0.97618432    -0.9946522   -0.99849181    -0.9997321  -0.597030964   -0.78444646  -0.657881221   -0.88499640  -0.057370031  3.420095e-03     0.5014213
     30             LAYING     0.2810339  -0.019449410   -0.10365815  -0.976362515  -0.954201824   -0.96704424 -2.494291e-01  -0.304809506    -0.3447378   0.732661248   0.681459211    -0.9795639  -0.264253670  -0.570249151    0.07521967  1.076802e-02 -3.741897e-04  -0.977463776  6.640986e-02 -0.0636129017 -0.0267812219  -0.076147635  0.0938472163    -0.9736628  0.1697375045 -0.0518161178  0.1660039576 -0.1712122913   0.201114324  -0.040065582 -0.0079373412 -0.2304709985   -0.97479000  -0.959974275   -0.97032199  -0.977045261   -0.99757478    -0.9993277  -0.976887902  -0.971696280   -0.97563242  -0.980350748    -0.9990932    -0.9992845   -0.97178905   -0.96817033   -0.96757736    -0.9744884   -0.99805957    -0.9996334  -0.406782449   -0.68025591  -0.370672105   -0.67968114   0.037205909  1.735548e-02     0.4998487
